site,dummy,distRoad,occ,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
77,0,1.858237624,0,12.23338795,5.28301239,94.39394379,0,0.000000000,0.531234145,0,0,5.07767868,2831.894775,0.083340846,-895.7395576,685.010677,RufousLeggedOwl,15
78,0,2.758171797,0,8.627671242,11.50792694,88.61393738,0,0.000000000,1.371799588,0,0.085436411,9.907287598,3526.793701,1.380689859,-880.7395576,685.010677,RufousLeggedOwl,15
79,0,2.191338062,0,16.26463509,0.006587677,86.25553131,0,0.000000000,0.03961987,0,0.114297919,13.19122791,661.9013672,1.083326101,-1015.739558,670.010677,RufousLeggedOwl,15
80,0,2.191338062,0,16.26463509,0.006587677,86.25553131,0,0.000000000,0.03961987,0,0.114297919,13.19122791,661.9013672,1.083326101,-1000.739558,670.010677,RufousLeggedOwl,15
81,0,2.125295162,0,16.58618355,0,88.62798309,0,0.000000000,0.167406574,0,0,11.20747566,728.3469849,0.181739539,-985.7395576,670.010677,RufousLeggedOwl,15
82,0,8.604771614,0,15.67531872,0.018065758,95.49710846,0,0.000000000,4.093789577,0,0.001745864,0.410819918,1687.081665,0.685792387,-925.7395576,670.010677,RufousLeggedOwl,15
83,0,8.585458755,0,14.61178493,1.171071053,92.90211487,0,0.000000000,1.466051936,0,0,5.632510185,2159.978027,0.437447518,-910.7395576,670.010677,RufousLeggedOwl,15
84,0,6.688515186,0,11.9114151,5.831886292,91.59539795,0,0.000000000,0.011131262,0,0,8.397098541,2865.270264,0.57991153,-895.7395576,670.010677,RufousLeggedOwl,15
85,0,10.82283401,0,7.984326363,13.00818634,85.47085571,0,0.000000000,0.28294462,0,0,14.24498463,3641.46167,2.073596478,-880.7395576,670.010677,RufousLeggedOwl,15
86,0,2.858057261,0,8.463710785,14.44008064,85.21530151,0,0.000000000,0,0,0,7.790431499,3541.392822,-1.809289813,-865.7395576,670.010677,RufousLeggedOwl,15
87,1,2.527655363,0,16.41491508,0.020640282,87.35771942,0,0.000000000,0.11943379,0,0.081152819,11.65496731,503.946228,-0.596609056,-1015.739558,655.010677,RufousLeggedOwl,15
88,1,2.527655363,0,16.41491508,0.020640282,87.35771942,0,0.000000000,0.11943379,0,0.081152819,11.65496731,503.946228,-0.596609056,-1000.739558,655.010677,RufousLeggedOwl,15
89,0,3.136926174,0,16.29932022,0,88.69042969,0,0.000000000,0,0,0,11.31061268,753.121521,1.970743656,-985.7395576,655.010677,RufousLeggedOwl,15
90,0,3.136926174,0,16.29932022,0,88.69042969,0,0.000000000,0,0,0,11.31061268,753.121521,1.970743656,-970.7395576,655.010677,RufousLeggedOwl,15
91,0,3.05081749,0,15.68183422,0.005217008,97.69007111,0,0.000000000,0,0,0,2.311842918,1603.320679,-0.321389407,-940.7395576,655.010677,RufousLeggedOwl,15
92,1,3.05081749,0,15.68183422,0.005217008,97.69007111,0,0.000000000,0,0,0,2.311842918,1603.320679,-0.321389407,-925.7395576,655.010677,RufousLeggedOwl,15
93,0,2.518263102,0,14.38001156,1.311819434,90.68720245,0,0.000000000,0.209373921,0,0,9.113986969,2155.135498,-0.84109062,-910.7395576,655.010677,RufousLeggedOwl,15
94,0,3.103014708,0,12.07514477,5.620965481,94.43764496,0,0.000000000,0.098708831,0,0,5.473258018,2793.742188,-0.997310638,-895.7395576,655.010677,RufousLeggedOwl,15
95,0,4.443524361,0,8.836899757,11.76167965,91.06702423,0,0.000000000,0.805543125,0,0.036213018,7.929213524,3450.930664,-0.469079077,-880.7395576,655.010677,RufousLeggedOwl,15
96,0,2.858057261,0,8.463710785,14.44008064,85.21530151,0,0.000000000,0,0,0,7.790431499,3541.392822,-1.809289813,-865.7395576,655.010677,RufousLeggedOwl,15
97,1,3.960857868,0,16.13457298,0.051653795,90.08815002,0,0.000000000,0.511756063,0.090305366,0.113607347,8.491275787,540.684082,2.270305872,-1015.739558,640.010677,RufousLeggedOwl,15
98,1,3.960857868,0,16.13457298,0.051653795,90.08815002,0,0.000000000,0.511756063,0.090305366,0.113607347,8.491275787,540.684082,2.270305872,-1000.739558,640.010677,RufousLeggedOwl,15
99,0,2.255352259,0,16.12120056,0,96.55640411,0,0.000000000,0,0,0,3.446508646,712.7787476,-1.893282056,-985.7395576,640.010677,RufousLeggedOwl,15
100,0,1.950137615,0,15.85397148,0,86.01097107,0,0.000000000,0,0,0.025425564,13.97244835,847.1292114,3.085791349,-970.7395576,640.010677,RufousLeggedOwl,15
101,0,1.540937304,0,16.19973755,0,93.85715485,0,0.000000000,0,0,0.035208646,5.859613895,861.0501709,-0.076795749,-955.7395576,640.010677,RufousLeggedOwl,15
102,1,3.419328451,0,15.54449558,0.029777838,97.0338974,0,0.000000000,0,0,0,2.924625397,1553.190308,-0.946171403,-940.7395576,640.010677,RufousLeggedOwl,15
103,0,3.419328451,0,15.54449558,0.029777838,97.0338974,0,0.000000000,0,0,0,2.924625397,1553.190308,-0.946171403,-925.7395576,640.010677,RufousLeggedOwl,15
104,1,1.949373126,0,13.62445164,2.162820816,95.12649536,0,0.000000000,0,0,0.037873466,4.039632797,2311.583008,0.573997617,-910.7395576,640.010677,RufousLeggedOwl,15
105,1,3.310868263,0,11.13718224,7.139533043,96.37556458,0,0.000000000,0.227454498,0,0,3.400282145,3007.351074,3.118832111,-895.7395576,640.010677,RufousLeggedOwl,15
106,1,2.06244421,0,9.375805855,11.35126591,93.99237061,0,0.000000000,0.178660721,0,0.044788431,1.805102229,3327.886719,-1.659390926,-880.7395576,640.010677,RufousLeggedOwl,15
107,0,6.33349371,0,9.079084396,13.54741955,82.80561829,0,0.000000000,0,0,0,0.105284616,3376.835205,-0.521281958,-865.7395576,640.010677,RufousLeggedOwl,15
108,0,2.134282589,0,16.4997139,0.126221359,85.47646332,0.028337179,0.000000000,0,0,0.068415672,9.926465034,341.0248108,0.019724919,-1015.739558,625.010677,RufousLeggedOwl,15
109,1,2.134282589,0,16.4997139,0.126221359,85.47646332,0.028337179,0.000000000,0,0,0.068415672,9.926465034,341.0248108,0.019724919,-1000.739558,625.010677,RufousLeggedOwl,15
110,0,1.614948273,0,16.16515541,0,88.21336365,0,0.000000000,0,0,0,11.80812454,581.6965332,-2.147343397,-985.7395576,625.010677,RufousLeggedOwl,15
111,1,1.950137615,0,15.85397148,0,86.01097107,0,0.000000000,0,0,0.025425564,13.97244835,847.1292114,3.085791349,-970.7395576,625.010677,RufousLeggedOwl,15
112,1,1.540937304,0,16.19973755,0,93.85715485,0,0.000000000,0,0,0.035208646,5.859613895,861.0501709,-0.076795749,-955.7395576,625.010677,RufousLeggedOwl,15
113,0,1.673902035,0,16.03646851,0,97.20571899,0,0.000000000,0.131269261,0,0.0039475,2.65906477,1074.113281,-1.072540045,-940.7395576,625.010677,RufousLeggedOwl,15
114,0,1.939786434,0,15.10985851,0.057933506,92.36451721,0,0.000000000,0,0,0,7.389763832,1621.401123,0.359128594,-925.7395576,625.010677,RufousLeggedOwl,15
115,0,2.822877645,0,13.84610558,1.790465832,92.53878021,0,0.000000000,0,0,0,7.474400997,2177.900635,-0.79544276,-910.7395576,625.010677,RufousLeggedOwl,15
116,0,1.832761765,0,12.15269279,5.810740471,94.97568512,0,0.000000000,0.141037181,0,0,4.433974266,2738.830566,-2.2020998,-895.7395576,625.010677,RufousLeggedOwl,15
117,1,2.324496746,0,8.981443405,12.31873322,96.36529541,0,0.000000000,0.148239732,0,0,3.091269732,3382.733643,-2.147390604,-880.7395576,625.010677,RufousLeggedOwl,15
118,0,2.748018503,0,8.275204659,15.71730137,93.46860504,0,0.000000000,0,0,0,0.229308426,3538.720947,-1.977913976,-865.7395576,625.010677,RufousLeggedOwl,15
119,1,5.398704052,0,15.769804,0.03290008,75.54038239,0,0.000000000,0,0,0.027727744,24.24632072,550.9264526,0.498653561,-1015.739558,610.010677,RufousLeggedOwl,15
120,0,5.398704052,0,15.769804,0.03290008,75.54038239,0,0.000000000,0,0,0.027727744,24.24632072,550.9264526,0.498653561,-1000.739558,610.010677,RufousLeggedOwl,15
121,0,2.590237379,0,15.5367012,0,87.52423859,0,0.000000000,0,0,0,12.48530483,768.3709106,4.115885258,-985.7395576,610.010677,RufousLeggedOwl,15
122,0,2.175766706,0,15.82348251,0,83.82385254,0,0.000000000,0,0,0,16.19326401,791.522522,-3.070097446,-970.7395576,610.010677,RufousLeggedOwl,15
123,1,4.844685555,0,15.76342487,0,79.9499588,0,0.000000000,0.002812154,0,0.034158114,20.02070999,963.3738403,0.152300075,-955.7395576,610.010677,RufousLeggedOwl,15
124,0,1.946573257,0,15.65046978,0,96.96829224,0,0.000000000,0.038746834,0,0.666309237,2.330545187,1156.374023,-0.955746889,-940.7395576,610.010677,RufousLeggedOwl,15
125,0,3.362033129,0,14.52520275,0.168573901,98.33461761,0,0.000000000,0,0,0,1.665385246,1701.039307,-0.967703462,-925.7395576,610.010677,RufousLeggedOwl,15
126,0,9.262187004,0,11.56224251,5.145082474,91.5773468,0,0.000000000,0,0,0,8.437004089,2692.587891,-0.662840605,-910.7395576,610.010677,RufousLeggedOwl,15
127,0,4.367873192,0,8.236299515,12.11427402,90.87761688,0,0.000000000,0,0,0,9.141613007,3505.133301,2.049928904,-895.7395576,610.010677,RufousLeggedOwl,15
128,1,2.695850134,0,7.042654514,15.92064285,97.03310394,0,0.000000000,0,0,0,2.970265388,3727.489746,-0.192514569,-880.7395576,610.010677,RufousLeggedOwl,15
129,1,2.655162811,0,15.85857868,0.137519673,78.55669403,0.021513304,0.000000000,0.069405183,0,0.016610263,20.7274437,449.7138062,0.031943858,-1015.739558,595.010677,RufousLeggedOwl,15
130,1,2.655162811,0,15.85857868,0.137519673,78.55669403,0.021513304,0.000000000,0.069405183,0,0.016610263,20.7274437,449.7138062,0.031943858,-1000.739558,595.010677,RufousLeggedOwl,15
131,0,2.747991323,0,15.07193375,0,85.87374115,0,0.000000000,0,0,0,14.12991524,884.1231079,-0.376338333,-985.7395576,595.010677,RufousLeggedOwl,15
132,0,2.146807432,0,14.90239429,0,94.59546661,0,0.000000000,0.07236357,0,0,5.33597517,1120.341309,0.179086775,-970.7395576,595.010677,RufousLeggedOwl,15
