site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
2349,0,0,0,0,0,1,0,1,0,0,0,0,1,175,240,120,105,120,150,13,140,58,24,13,47,60,14,10,11,14,8,11,22,9,16,16,15,12,20,2,2,8,2,2,2,2,3,1,1,1,1,2,20.51480293,326,349,55,337,8,45,366,35,361,258,263,345,53,1,2,3,4,5,6,7,8,9,10,11,12,13,325.5362549,0.394087613,0.92836082,0.715575516,35.84062958,30.54030609,1.028455377,8.698781013,220.6066895,0.341196954,-1160.739558,-1259.989323,AustralPygmyOwl,25
2350,0,1,0,0,0,1,0,0,0,0,1,0,0,90,40,120,30,60,32,120,90,3,60,13,29,52,16,13,9,14,11,21,10,14,12,13,20,11,15,1,3,8,2,3,2,3,2,1,3,1,1,1,3.50766325,51,8,55,334,44,45,284,34,342,20,277,34,267,1,2,3,4,5,6,7,8,9,10,11,12,13,338.638916,0.080673091,19.03216553,2.915970087,28.91526222,39.27599335,2.46628952,1.604632497,137.9308929,-0.668074369,-1135.739558,-1259.989323,AustralPygmyOwl,25
2351,0,NA,NA,0,0,0,0,0,0,0,0,0,0,20,NA,NA,60,105,30,15,60,120,105,30,89,63,4,NA,NA,13,16,11,15,15,11,11,13,14,11,2,NA,NA,2,1,1,1,1,1,4,2,1,1,0.475580722,48,NA,NA,336,306,281,12,9,268,22,292,247,357,1,NA,NA,4,5,6,7,8,9,10,11,12,13,360.1654358,0,4.936651707,1.691150665,32.94925308,25.00307465,0,1.693987489,59.10768127,-0.21259658,-1110.739558,-1259.989323,AustralPygmyOwl,25
2352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.475580722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,360.1654358,0,4.936651707,1.691150665,32.94925308,25.00307465,0,1.693987489,59.10768127,-0.21259658,-1085.739558,-1259.989323,AustralPygmyOwl,25
2353,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,90,NA,NA,15,120,13,71,11,21,NA,NA,NA,NA,8,NA,NA,9,12,17,10,20,11,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,2,27.34716988,NA,NA,NA,NA,279,NA,NA,337,327,27,12,48,294,NA,NA,NA,NA,5,NA,NA,8,9,10,11,12,13,307.7621155,0.599216819,1.983926058,0.249618962,49.98223114,29.50472832,1.868193626,12.15926933,617.8518677,-0.839814425,-1060.739558,-1259.989323,AustralPygmyOwl,25
2354,NA,0,NA,NA,NA,0,NA,0,0,0,1,0,1,NA,60,NA,NA,NA,120,NA,210,233,194,5,55,1,NA,14,NA,NA,NA,18,NA,11,8,8,22,16,17,NA,2,NA,NA,NA,3,NA,3,1,1,2,1,1,27.34716988,NA,32,NA,NA,NA,344,NA,354,283,284,56,59,51,NA,2,NA,NA,NA,6,NA,8,9,10,11,12,13,307.7621155,0.599216819,1.983926058,0.249618962,49.98223114,29.50472832,1.868193626,12.15926933,617.8518677,-0.839814425,-1035.739558,-1259.989323,AustralPygmyOwl,25
2357,NA,0,0,0,0,1,0,0,0,1,1,1,1,NA,180,120,60,240,120,135,120,240,120,80,73,55,NA,16,9,9,11,10,10,10,9,19,7,10,11,NA,2,1,1,2,1,2,1,2,1,1,4,4,4.891044617,NA,41,267,283,18,256,342,341,306,59,58,2,25,NA,2,3,4,5,6,7,8,9,10,11,12,13,136.125,3.255719662,3.908165932,5.838706017,34.58481598,25.91931152,7.362860203,8.907745361,1026.516357,0.34749347,-960.7395576,-1259.989323,AustralPygmyOwl,25
2358,0,NA,0,0,0,0,0,0,0,0,0,0,0,180,NA,180,90,120,90,60,90,120,180,150,160,14,9,NA,15,10,8,8,15,15,9,15,13,17,8,1,NA,1,2,6,1,2,2,1,1,1,2,2,11.94721127,268,NA,32,7,326,307,345,344,326,365,354,363,319,1,NA,3,4,5,6,7,8,9,10,11,12,13,85.74773407,13.2602272,3.735258818,7.78674984,22.82629585,7.844079971,20.45170975,23.4382534,1245.558105,1.229073524,-935.7395576,-1259.989323,AustralPygmyOwl,25
2359,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,60,240,2,2,3,NA,3,200,NA,NA,NA,NA,NA,10,9,11,10,10,NA,9,10,NA,NA,NA,NA,NA,2,7,1,1,2,NA,1,4,5.140482903,NA,NA,NA,NA,NA,45,276,46,353,340,NA,347,46,NA,NA,NA,NA,NA,6,7,8,9,10,NA,12,13,60.14757538,19.66060448,2.440300226,0.401388258,16.17398262,0.817412853,9.984298706,49.69935989,1018.659363,0.898150623,-910.7395576,-1259.989323,AustralPygmyOwl,25
2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.1369946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,47.86943054,26.32619286,0.597430885,0.11802122,10.52727222,0.072285764,11.04157829,50.40871811,808.6210327,-0.167369962,-885.7395576,-1259.989323,AustralPygmyOwl,25
2361,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,5.096183777,NA,NA,NA,NA,NA,NA,338,NA,NA,NA,NA,NA,319,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,13,41.06323624,30.45350647,2.148871899,0.277000993,7.905293941,0,8.539310455,46.2048378,705.1806641,0.033679288,-860.7395576,-1259.989323,AustralPygmyOwl,25
2378,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,60,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,13,NA,NA,9,NA,NA,17,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,6.174641132,NA,NA,NA,NA,NA,NA,289,NA,NA,296,NA,NA,289,NA,NA,NA,NA,NA,NA,7,NA,NA,10,NA,NA,13,46.97625732,29.0278492,0,0,8.732019424,0,0,62.11668015,103.5443726,0.046686359,-435.7395576,-1259.989323,AustralPygmyOwl,25
2379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.656590223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,41.86714554,27.564991,0,0,8.133460999,0,0,64.31887817,50.70464325,-0.051930405,-410.7395576,-1259.989323,AustralPygmyOwl,25
2381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4.719727993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,38.4783783,17.07759094,0,0,10.82515526,0.04041823,0.067663163,64.82847595,55.52446365,0.10194771,-360.7395576,-1259.989323,AustralPygmyOwl,25
2382,NA,NA,NA,1,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,240,NA,90,240,76,180,195,20,NA,109,NA,NA,NA,11,NA,19,10,17,6,14,16,NA,11,NA,NA,NA,3,NA,2,10,1,1,1,1,NA,1,25.77883339,NA,NA,NA,10,NA,328,337,32,311,259,257,NA,345,NA,NA,NA,4,NA,6,7,8,9,10,11,NA,13,334.0789185,0.370942622,0.310624093,0.760982096,36.28342819,37.89799881,0.622829854,5.509033203,111.8336334,0.142243475,-1160.739558,-1284.989323,AustralPygmyOwl,25
2383,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,41,30,248,180,35,8,25,18,8,NA,NA,NA,NA,7,21,9,10,14,13,19,13,10,NA,NA,NA,NA,10,10,1,2,1,1,1,1,2,7.981272697,NA,NA,NA,NA,287,317,317,303,294,286,305,44,287,NA,NA,NA,NA,5,6,7,8,9,10,11,12,13,354.9149475,0.033474345,1.162845373,1.019280195,39.90244293,47.66230011,0.03639181,3.824211836,146.7361908,0.087455146,-1135.739558,-1284.989323,AustralPygmyOwl,25
2384,0,NA,0,NA,0,1,0,0,0,0,0,1,0,10,NA,180,NA,75,8,39,9,24,42,22,13,3,14,NA,15,NA,9,16,18,19,15,16,15,21,15,2,NA,1,NA,1,2,5,1,1,1,1,3,1,3.196966648,48,NA,263,NA,306,57,18,359,315,52,262,302,269,1,NA,3,NA,5,6,7,8,9,10,11,12,13,373.0310059,0,5.76376152,3.185977459,44.49472809,38.9233017,0.036436073,1.368927836,84.25733185,0.166453645,-1110.739558,-1284.989323,AustralPygmyOwl,25
2386,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,12,30,60,102,9,11,NA,NA,NA,NA,NA,NA,NA,9,18,10,12,19,20,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,7.607523441,NA,NA,NA,NA,NA,NA,NA,336,262,47,32,290,337,NA,NA,NA,NA,NA,NA,NA,8,9,10,11,12,13,326.6846619,1.231776237,2.473875523,0.733810008,45.34505081,27.32418633,3.531704903,10.74965858,521.4343262,2.652027607,-1060.739558,-1284.989323,AustralPygmyOwl,25
2387,NA,NA,0,0,0,0,0,0,0,0,1,1,1,NA,NA,240,150,60,240,10,15,60,28,16,128,7,NA,NA,10,17,11,9,18,8,12,13,21,19,15,NA,NA,2,2,2,4,1,2,1,1,4,1,2,7.607523441,NA,NA,362,35,35,43,32,335,257,354,55,350,43,NA,NA,3,4,5,6,7,8,9,10,11,12,13,326.6846619,1.231776237,2.473875523,0.733810008,45.34505081,27.32418633,3.531704903,10.74965858,521.4343262,2.652027607,-1035.739558,-1284.989323,AustralPygmyOwl,25
2388,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,0,1,NA,NA,NA,NA,NA,240,NA,40,NA,NA,149,27,7,NA,NA,NA,NA,NA,12,NA,21,NA,NA,12,16,21,NA,NA,NA,NA,NA,3,NA,2,NA,NA,4,1,2,21.00258446,NA,NA,NA,NA,NA,345,NA,335,NA,NA,53,280,20,NA,NA,NA,NA,NA,6,NA,8,NA,NA,11,12,13,252.6649475,3.1717906,1.721241117,1.584082007,39.40858078,18.3277359,8.781385422,13.53969479,955.8828125,-0.275153756,-1010.739558,-1284.989323,AustralPygmyOwl,25
2389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18.69490242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,192.1651154,5.352724075,4.274836063,3.17399931,33.24843597,15.83549881,12.05042267,13.60570335,1134.626343,0.136425197,-985.7395576,-1284.989323,AustralPygmyOwl,25
2390,NA,NA,0,0,NA,0,0,0,0,0,1,0,0,NA,NA,30,10,NA,180,20,180,180,180,90,90,56,NA,NA,11,13,NA,17,19,11,12,9,8,17,10,NA,NA,3,2,NA,2,2,1,2,4,1,1,2,4.469907284,NA,NA,18,7,NA,30,341,259,43,351,57,312,268,NA,NA,3,4,NA,6,7,8,9,10,11,12,13,144.1339264,4.749278069,5.683252811,5.601006508,32.87883377,20.52916145,9.836677551,11.23927879,1070.738892,2.06633687,-960.7395576,-1284.989323,AustralPygmyOwl,25
2391,0,0,0,0,0,0,0,0,1,1,1,1,1,300,240,20,60,60,90,60,30,120,180,90,24,3,8,8,10,8,19,8,8,9,8,17,18,11,8,2,2,3,9,10,1,2,1,1,1,1,1,1,4.005459309,328,275,18,272,50,312,268,259,294,292,291,282,256,1,2,3,4,5,6,7,8,9,10,11,12,13,112.1345444,7.624375343,12.55100632,7.704126835,21.41785622,6.575903416,16.713871,24.44635582,717.8965454,-1.133027911,-935.7395576,-1284.989323,AustralPygmyOwl,25
2392,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,30,NA,NA,NA,NA,36,NA,NA,NA,NA,30,30,NA,18,NA,NA,NA,NA,10,NA,NA,NA,NA,9,10,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,3.555191517,NA,296,NA,NA,NA,NA,337,NA,NA,NA,NA,273,331,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,12,13,65.44551086,23.50798416,2.489641666,1.739273071,15.08653736,1.217250109,11.13846016,43.61569214,885.317688,0.638611555,-910.7395576,-1284.989323,AustralPygmyOwl,25
2393,0,NA,0,NA,0,0,NA,0,NA,NA,0,NA,0,240,NA,180,NA,240,180,NA,240,NA,NA,90,NA,180,9,NA,10,NA,8,8,NA,9,NA,NA,11,NA,7,1,NA,1,NA,3,2,NA,3,NA,NA,3,NA,4,3.796591759,297,NA,247,NA,273,255,NA,56,NA,NA,291,NA,302,1,NA,3,NA,5,6,NA,8,NA,NA,11,NA,13,48.40340042,31.08248329,0.987833083,0.202991053,11.28365993,0.057168271,6.221097946,49.78335571,810.8685913,-0.262384236,-885.7395576,-1284.989323,AustralPygmyOwl,25
2394,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,60,240,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,7,3.162033558,NA,NA,NA,NA,NA,52,353,NA,NA,NA,NA,NA,296,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,13,40.68302155,43.3240242,0.165034547,0.068058215,2.779376745,0.036914017,5.592351913,44.82207108,621.3000488,-0.398225188,-860.7395576,-1284.989323,AustralPygmyOwl,25
2409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.641808271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,46.31995392,5.301211834,0.461139679,0.028440798,10.9679327,0,0.04117436,83.20633698,157.5743713,0.141939983,-485.7395576,-1284.989323,AustralPygmyOwl,25
2410,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,100,60,NA,30,NA,60,NA,120,40,30,15,60,30,17,10,NA,10,NA,19,NA,16,15,11,17,17,15,3,1,NA,2,NA,9,NA,1,1,2,1,2,2,5.572305202,17,327,NA,5,NA,25,NA,307,246,326,354,336,296,1,2,NA,4,NA,6,NA,8,9,10,11,12,13,47.97994614,18.00992012,11.47861099,0.541394889,11.147048,0,1.051185966,57.06665039,95.41773987,-0.140943468,-460.7395576,-1284.989323,AustralPygmyOwl,25
2411,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,30,65,60,30,30,45,15,24,20,40,10,14,14,7,16,10,16,13,8,8,19,16,10,14,2,1,1,2,2,1,2,2,1,1,1,1,1,2.947059393,322,245,258,322,331,30,333,352,279,302,347,317,253,1,2,3,4,5,6,7,8,9,10,11,12,13,49.78026581,26.55735207,4.577632427,0.848882496,8.508038521,0,1.317102432,53.51423645,49.47257233,-0.742258549,-435.7395576,-1284.989323,AustralPygmyOwl,25
2412,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,55,NA,NA,30,NA,35,106,NA,15,121,56,28,60,9,NA,NA,18,NA,12,9,NA,15,11,12,11,9,6,NA,NA,1,NA,2,3,NA,1,2,1,2,1,3.984417677,322,NA,NA,287,NA,38,296,NA,296,318,6,36,261,1,NA,NA,4,NA,6,7,NA,9,10,11,12,13,45.43556976,30.89092636,0.036584061,0.061741382,5.64648819,0,1.534352779,47.38915634,20.7109623,-0.000671615,-410.7395576,-1284.989323,AustralPygmyOwl,25
2415,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,38.70887375,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,342.8660278,0.124265961,0.174624354,0.295153111,38.75702667,47.88500214,0.079052962,6.559468746,113.6728287,-0.115887254,-1160.739558,-1309.989323,AustralPygmyOwl,25
2416,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,30,35,90,60,240,35,157,80,NA,NA,NA,NA,NA,12,13,11,10,11,18,15,10,NA,NA,NA,NA,NA,2,5,2,2,1,1,2,1,17.33804703,NA,NA,NA,NA,NA,14,18,59,333,315,311,360,288,NA,NA,NA,NA,NA,6,7,8,9,10,11,12,13,372.0857239,0.232336819,0.352866173,0.609789729,38.91091919,47.58951569,0.081116766,6.432677746,207.4359589,0.112469897,-1135.739558,-1309.989323,AustralPygmyOwl,25
2417,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,120,55,45,60,56,30,8,60,42,19,NA,NA,NA,11,14,9,17,13,18,15,7,13,9,NA,NA,NA,1,2,2,4,1,1,1,1,1,1,3.38855505,NA,NA,NA,258,13,14,3,294,267,47,354,342,310,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,395.6473999,0.030606311,6.123641491,2.208287716,37.74197006,33.61930847,0.596960902,2.220602512,80.27152252,0.043085668,-1110.739558,-1309.989323,AustralPygmyOwl,25
2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,13.29551601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,13,331.7764282,1.657447338,1.841396093,1.0772506,40.7232666,16.88417816,7.930633545,11.85270977,605.0615845,-1.138565183,-1035.739558,-1309.989323,AustralPygmyOwl,25
2421,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5,2,120,16,8,NA,NA,NA,NA,NA,NA,NA,NA,15,19,11,22,16,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,2,10.36134911,NA,NA,NA,NA,NA,NA,NA,NA,41,284,52,316,49,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,13,285.5135498,3.403934479,1.953345537,1.798269391,38.02525711,16.83428001,10.7335968,11.63153172,680.9935913,-0.949162066,-1010.739558,-1309.989323,AustralPygmyOwl,25
2422,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,35,60,60,3,NA,NA,12,NA,NA,NA,NA,NA,NA,9,10,9,11,NA,NA,15,NA,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,1,9.944923401,NA,NA,NA,NA,NA,NA,44,283,46,314,NA,NA,347,NA,NA,NA,NA,NA,NA,7,8,9,10,NA,NA,13,212.2440186,4.376262188,6.4862113,4.051939011,33.5139122,18.93389511,10.83984947,11.71213818,989.6449585,0.211167887,-985.7395576,-1309.989323,AustralPygmyOwl,25
2423,NA,NA,NA,0,NA,NA,0,1,0,0,0,1,1,NA,NA,NA,30,NA,NA,180,240,120,60,4,80,46,NA,NA,NA,11,NA,NA,9,15,7,17,19,19,11,NA,NA,NA,2,NA,NA,2,2,3,1,1,1,1,5.521399498,NA,NA,NA,35,NA,NA,343,43,50,336,334,53,358,NA,NA,NA,4,NA,NA,7,8,9,10,11,12,13,159.4675446,5.677752972,6.109366894,7.199825287,32.35601807,21.47445107,10.38101006,13.592206,996.3325195,-0.641049266,-960.7395576,-1309.989323,AustralPygmyOwl,25
2424,NA,NA,NA,0,0,NA,0,0,0,0,0,1,1,NA,NA,NA,60,240,NA,15,60,30,80,25,58,50,NA,NA,NA,9,11,NA,17,10,16,7,11,14,18,NA,NA,NA,1,1,NA,1,2,3,2,1,1,1,4.20605135,NA,NA,NA,280,26,NA,310,304,348,337,271,245,271,NA,NA,NA,4,5,NA,7,8,9,10,11,12,13,118.1882706,3.304008484,10.60717773,13.12790298,24.1969223,15.55632019,18.23579025,13.4713974,752.1004028,-0.556789279,-935.7395576,-1309.989323,AustralPygmyOwl,25
2425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8.843392372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,66.10070038,14.69984436,2.813560486,4.85486269,21.51135063,5.24709177,11.76431084,38.43888474,1010.546204,-0.206723049,-910.7395576,-1309.989323,AustralPygmyOwl,25
2426,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,4.296607971,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,304,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,13,46.41201401,32.44284821,0.559364855,0.216932148,14.33114243,0.105168648,6.270735264,45.9295311,938.1172485,0.372367442,-885.7395576,-1309.989323,AustralPygmyOwl,25
2431,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,10.03904247,NA,NA,NA,13,NA,NA,NA,NA,NA,339,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,10,NA,NA,NA,26.03567886,40.48129654,0.104542017,0.081351347,5.051187515,0.139804319,4.266889095,49.05617905,740.7850952,-0.274377495,-760.7395576,-1309.989323,AustralPygmyOwl,25
2432,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8.860729218,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,27.80249977,30.6877079,0.233501747,0.158595517,7.071905613,0.016455008,1.544516087,60.28222656,719.8599854,0.489052176,-735.7395576,-1309.989323,AustralPygmyOwl,25
2443,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,6.320762634,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,11,NA,NA,46.80052567,37.7763176,1.505353689,0.034822345,5.58129406,0,0.34789148,54.59492111,192.5339508,0.19776468,-460.7395576,-1309.989323,AustralPygmyOwl,25
2444,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,25,NA,22,NA,30,NA,83,55,NA,NA,NA,NA,NA,15,NA,17,NA,17,NA,7,5,NA,NA,NA,NA,NA,2,NA,10,NA,3,NA,2,3,2.59102726,NA,NA,NA,NA,NA,4,NA,12,NA,287,NA,48,305,NA,NA,NA,NA,NA,6,NA,8,NA,10,NA,12,13,47.2214241,40.32200623,0.008141407,0.01905526,4.074093342,0,0.385090113,54.84913635,185.4236755,0.706831455,-435.7395576,-1309.989323,AustralPygmyOwl,25
2447,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,1,NA,120,150,NA,NA,NA,240,NA,NA,NA,NA,180,210,NA,17,8,NA,NA,NA,11,NA,NA,NA,NA,18,7,NA,4,2,NA,NA,NA,3,NA,NA,NA,NA,2,1,45.8265152,NA,46,263,NA,NA,NA,246,NA,NA,NA,NA,16,49,NA,2,3,NA,NA,NA,7,NA,NA,NA,NA,12,13,355.2522583,0.106696621,0.150177374,0.472907841,44.18702316,45.27805328,0.124026157,6.998995304,107.0121689,0.158291906,-1160.739558,-1334.989323,AustralPygmyOwl,25
2452,NA,NA,NA,0,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,60,NA,NA,NA,NA,224,98,70,89,4,NA,NA,NA,12,NA,NA,NA,NA,7,18,17,15,19,NA,NA,NA,2,NA,NA,NA,NA,1,2,4,1,1,26.70895576,NA,NA,NA,36,NA,NA,NA,NA,39,16,51,277,305,NA,NA,NA,4,NA,NA,NA,NA,9,10,11,12,13,278.3511353,4.960215569,2.293481588,1.840236306,30.13103676,13.70117378,9.443733215,8.900798798,848.0071411,2.553478003,-1010.739558,-1334.989323,AustralPygmyOwl,25
