site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
1430,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,6,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,4,5.942198277,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,46,NA,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,13,44.92213821,43.82530975,0.105755769,0.221481502,2.901357412,0,0.113947384,46.83549118,751.9353027,-0.827043056,-785.7395576,-634.989323,AustralPygmyOwl,25
1431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,150,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3.297482967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,320,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,52.53805161,32.71206665,0.320806742,0.220629022,5.606897354,0,0.160273805,59.37131882,722.0999756,-0.521758378,-760.7395576,-634.989323,AustralPygmyOwl,25
1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3.898556471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,89.13581848,5.960088253,0.387681514,0.098679282,12.83253098,0,0.363954246,79.99510956,451.2813416,0.063557722,-660.7395576,-634.989323,AustralPygmyOwl,25
1437,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,9.431326866,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,NA,112.7014771,21.28765678,0.152408019,0.237087101,6.606784344,0.120729022,4.293233395,54.3665123,257.7939453,-0.13993004,-610.7395576,-634.989323,AustralPygmyOwl,25
1441,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4.137380123,NA,NA,NA,NA,NA,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,150.810318,1.811650991,0.001407829,0,1.776750922,0,0,96.41571808,245.2357178,0.000755083,-510.7395576,-634.989323,AustralPygmyOwl,25
1442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2.751221418,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,NA,156.4178314,9.372735023,0.250632584,0.003879827,8.414652824,0,0.141693369,81.16196442,253.5750275,-0.048028152,-485.7395576,-634.989323,AustralPygmyOwl,25
1444,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,7,15,NA,NA,15,NA,10,89,NA,NA,NA,NA,NA,7,10,NA,NA,13,NA,11,12,NA,NA,NA,NA,NA,5,1,NA,NA,2,NA,1,1,2.468430996,NA,NA,NA,NA,NA,361,361,NA,NA,319,NA,246,25,NA,NA,NA,NA,NA,6,7,NA,NA,10,NA,12,13,157.4284363,12.25297451,3.113595963,0.167950422,9.202888489,0,1.268622518,73.9369278,320.1276245,-0.068917684,-435.7395576,-634.989323,AustralPygmyOwl,25
1445,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,100,NA,26,150,100,15,NA,120,NA,NA,NA,NA,NA,6,NA,20,16,7,14,NA,18,NA,NA,NA,NA,NA,1,NA,1,1,1,2,NA,3,2.976388454,NA,NA,NA,NA,NA,4,NA,49,279,352,44,NA,19,NA,NA,NA,NA,NA,6,NA,8,9,10,11,NA,13,155.0711823,11.70978546,5.053594589,0.313109457,8.310061455,0,4.09685421,70.16529846,286.2081299,-0.111139737,-410.7395576,-634.989323,AustralPygmyOwl,25
1446,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,5,60,NA,120,10,167,60,120,NA,NA,NA,NA,NA,19,10,NA,13,6,6,18,10,NA,NA,NA,NA,NA,1,2,NA,1,1,1,2,2,2.369871616,NA,NA,NA,NA,NA,360,344,NA,279,292,37,330,7,NA,NA,NA,NA,NA,6,7,NA,9,10,11,12,13,151.6118469,20.42949486,17.02038193,0.268117458,5.569975853,0,15.49618149,40.77897644,235.2612762,-0.071178131,-385.7395576,-634.989323,AustralPygmyOwl,25
1447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,3.068734884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,151.4960938,20.09991264,20.52445793,0.03203981,10.54139996,0,16.53800392,32.05169678,211.4378052,0.08542113,-360.7395576,-634.989323,AustralPygmyOwl,25
