site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,herb,shrub,elev,tpi,tri,X,Y,species,resolution
2545,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5.837213516,NA,NA,NA,NA,NA,NA,340,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9,NA,NA,NA,NA,4.273288727,84.74044037,2.143645048,20.48316574,0.222688228,3.679298162,44.59688187,23.98007774,598.0367432,0.438991576,34.5717392,-923.2395576,-2177.489323,WhiteTroatedCaracara,20
2551,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29,17,NA,26,36,NA,NA,NA,NA,NA,NA,NA,NA,9,16,NA,8,18,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,2.240639687,NA,NA,NA,NA,NA,NA,NA,56,6,NA,319,259,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,11,12,NA,6.809096336,58.18431091,7.525443554,0.585472167,0.015167756,3.372686625,45.01942062,42.67786789,176.9219666,-0.02923952,5.21884346,-803.2395576,-2177.489323,WhiteTroatedCaracara,20
2552,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,30,NA,NA,NA,26,NA,NA,50,NA,NA,NA,NA,22,11,NA,NA,NA,20,NA,NA,14,NA,NA,NA,NA,9,6,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,3.149135113,324,NA,NA,NA,299,NA,NA,262,NA,NA,NA,NA,2,1,NA,NA,NA,5,NA,NA,8,NA,NA,NA,NA,13,7.04259634,60.48722076,5.570827007,0.82545501,0.035510901,0.713970423,47.67999268,44.78208542,142.1533813,-0.08984378,5.901641846,-783.2395576,-2177.489323,WhiteTroatedCaracara,20
2553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.872452497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,7.183708191,64.23859406,6.592908859,1.769437432,0.469775558,2.436507702,47.66701889,40.93259048,123.0899734,-0.019799115,6.425651073,-763.2395576,-2177.489323,WhiteTroatedCaracara,20
2554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3.337587595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,7.2392416,70.50823212,10.13858128,0.558636963,0.15643771,3.590444088,44.68987274,39.33406448,114.8536758,0.086329885,10.5351162,-743.2395576,-2177.489323,WhiteTroatedCaracara,20
2555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,10,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1.741754293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,300,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,7.19303751,74.18841553,10.7025528,0.014457035,0.003308913,2.215982437,44.82033157,39.97166061,118.9445648,0.214697123,10.34858322,-723.2395576,-2177.489323,WhiteTroatedCaracara,20
2556,0,NA,0,0,0,0,0,0,0,0,0,0,0,5,NA,25,15,81,168,29,30,2,2,33,3,52,18,NA,10,10,11,8,10,15,12,10,14,11,10,3,NA,2,2,1,1,1,1,1,1,1,3,1,2.068869829,11,NA,47,298,330,263,350,361,245,289,250,260,300,1,NA,3,4,5,6,7,8,9,10,11,12,13,7.245312214,77.36634064,7.60500145,0,0.027634934,3.652904749,46.09870529,33.72542572,91.48138428,-0.008318838,10.96969223,-703.2395576,-2177.489323,WhiteTroatedCaracara,20
2557,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,120,35,140,59,16,120,60,156,45,NA,NA,NA,NA,12,13,7,10,10,9,15,13,8,NA,NA,NA,NA,1,1,1,2,4,2,1,1,2,1.70669508,NA,NA,NA,NA,344,247,349,275,303,318,317,255,327,NA,NA,NA,NA,5,6,7,8,9,10,11,12,13,7.20213747,76.13398743,9.257108688,0.158964276,0.023009865,3.369728804,43.98754501,27.73927116,69.57195282,-0.072488673,8.101570129,-683.2395576,-2177.489323,WhiteTroatedCaracara,20
2566,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,60,NA,NA,NA,NA,NA,NA,60,NA,30,NA,NA,2,11,NA,NA,NA,NA,NA,NA,11,NA,10,NA,NA,9,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,7,14.48729038,320,NA,NA,NA,NA,NA,NA,353,NA,341,NA,NA,300,1,NA,NA,NA,NA,NA,NA,8,NA,10,NA,NA,13,4.252116203,229.307785,4.537752151,1.891020417,6.024206161,19.21260643,15.9736948,11.70958042,539.3468628,0.82913512,136.8599396,-1003.239558,-2197.489323,WhiteTroatedCaracara,20
2567,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,90,NA,NA,NA,NA,NA,45,NA,NA,60,NA,NA,NA,14,NA,NA,NA,NA,NA,14,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,14.48729038,320,NA,NA,NA,NA,NA,18,NA,NA,341,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,10,NA,NA,NA,4.252116203,229.307785,4.537752151,1.891020417,6.024206161,19.21260643,15.9736948,11.70958042,539.3468628,0.82913512,136.8599396,-983.2395576,-2197.489323,WhiteTroatedCaracara,20
2568,0,NA,0,0,0,0,0,0,0,1,0,0,0,2,NA,60,3,60,160,120,22,90,90,34,65,110,18,NA,11,7,19,10,11,10,11,11,11,12,11,2,NA,1,1,1,4,4,4,2,10,1,2,2,3.351427794,321,NA,359,304,268,313,262,264,352,319,55,335,280,1,NA,3,4,5,6,7,8,9,10,11,12,13,5.822048664,116.3684006,1.523670077,10.65566635,8.770813942,9.461464882,31.72054291,10.68868732,263.4417114,-1.549727678,66.84241486,-963.2395576,-2197.489323,WhiteTroatedCaracara,20
2569,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,180,60,50,1,2,32,18,7,3,60,6,NA,NA,15,16,17,17,9,13,13,12,6,13,15,NA,NA,2,3,2,1,1,3,1,2,3,1,1,5.155356407,NA,NA,267,244,299,254,323,264,308,332,291,311,280,NA,NA,3,4,5,6,7,8,9,10,11,12,13,5.097822666,101.4717636,1.66642499,16.74217415,5.217973232,2.609151363,41.11342239,21.30160332,398.8722229,0.656283438,49.59207535,-943.2395576,-2197.489323,WhiteTroatedCaracara,20
2570,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,50,48,NA,74,NA,NA,NA,40,NA,NA,NA,NA,NA,16,8,NA,12,NA,NA,NA,10,NA,NA,NA,NA,NA,2,2,NA,3,NA,NA,NA,1,NA,4.766287327,NA,NA,NA,NA,299,15,NA,265,NA,NA,NA,57,NA,NA,NA,NA,NA,5,6,NA,8,NA,NA,NA,12,NA,4.824528217,96.42901611,1.508496404,18.9659214,2.655585289,1.422785878,46.34707642,23.01192856,446.7797852,-0.200048909,35.96392441,-923.2395576,-2197.489323,WhiteTroatedCaracara,20
2578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.47049284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,7.213527203,67.89431763,2.850293398,0.158684716,0.003625016,1.999513507,54.09083939,40.34204102,90.30462646,-0.152623266,10.29402351,-763.2395576,-2197.489323,WhiteTroatedCaracara,20
2579,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,35,90,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2.904814482,NA,NA,NA,NA,NA,NA,NA,NA,331,NA,NA,330,21,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,12,13,7.296495438,72.32577515,5.682742596,0.657060206,0.002613034,1.621399641,51.84079742,39.85659027,78.20907593,-0.01228387,10.88594151,-743.2395576,-2197.489323,WhiteTroatedCaracara,20
2580,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,15,NA,NA,43,NA,2,175,30,NA,NA,64,120,3,7,NA,NA,16,NA,8,14,16,NA,NA,9,12,9,6,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,2.998029947,324,NA,NA,365,NA,295,43,332,NA,NA,358,272,352,1,NA,NA,4,NA,6,7,8,NA,NA,11,12,13,7.474752426,76.76184082,11.33613777,3.24447608,0.616080344,3.52274704,43.48567581,37.18055725,39.09380341,-0.210575595,4.784367561,-723.2395576,-2197.489323,WhiteTroatedCaracara,20
2581,0,0,0,0,0,0,0,0,0,0,0,0,0,35,180,20,119,3,23,193,30,120,1,1,67,30,11,10,18,11,20,8,15,17,7,5,11,18,15,3,3,2,1,1,1,1,1,2,1,1,1,1,2.420397282,323,348,46,245,328,294,261,247,261,284,258,283,296,1,2,3,4,5,6,7,8,9,10,11,12,13,7.461091995,81.42446136,5.45314455,1.3294276,0.162592903,2.737061024,49.26838684,34.65088272,29.00637817,-0.022130182,3.142649889,-703.2395576,-2197.489323,WhiteTroatedCaracara,20
2582,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,216,NA,NA,72,124,37,35,NA,NA,NA,NA,NA,NA,13,NA,NA,10,10,13,16,NA,NA,NA,NA,NA,NA,3,NA,NA,2,1,2,2,2.738594055,NA,NA,NA,NA,NA,NA,326,NA,NA,45,308,364,28,NA,NA,NA,NA,NA,NA,7,NA,NA,10,11,12,13,7.38242054,81.77999878,6.918348789,0.020198014,0,2.88029933,52.35026932,35.37136841,16.58707809,-0.043018594,1.884021282,-683.2395576,-2197.489323,WhiteTroatedCaracara,20
2589,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,72.12547302,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5.914844036,542.7753906,3.555999756,1.922034383,2.0101192,10.94084835,35.75248337,21.78277397,205.6694946,-0.282730192,89.33112335,-1063.239558,-2217.489323,WhiteTroatedCaracara,20
2593,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.91704178,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.184382439,234.9759827,2.603672981,1.426084042,8.802158356,22.3602562,21.89390945,15.64524555,374.6253052,0.951951206,90.39011383,-983.2395576,-2217.489323,WhiteTroatedCaracara,20
2594,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,120,NA,120,19,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,14,8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,10.59850502,NA,NA,NA,NA,NA,NA,NA,NA,338,351,NA,360,301,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,12,13,6.010514259,132.1925964,0.311938077,5.924408436,14.02997303,16.89945412,21.2016716,5.941857338,190.0343018,0.603641987,39.98991394,-963.2395576,-2217.489323,WhiteTroatedCaracara,20
2595,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,60,120,30,73,60,11,90,5,10,20,3,18,7,9,12,16,5,16,7,16,13,14,6,12,2,1,4,1,1,1,1,1,2,2,1,1,2,4.795513153,319,316,259,354,364,304,263,337,325,281,337,311,340,1,2,3,4,5,6,7,8,9,10,11,12,13,6.309519291,94.50436401,2.255367279,17.47037506,3.373058081,2.791554213,37.20959091,10.96811771,111.2506485,-0.536316454,15.55691051,-943.2395576,-2217.489323,WhiteTroatedCaracara,20
2596,0,1,NA,NA,0,0,0,0,0,0,NA,0,0,2,30,NA,NA,5,65,75,30,49,20,NA,45,35,10,9,NA,NA,10,16,14,13,15,14,NA,8,15,2,4,NA,NA,3,5,4,1,1,6,NA,8,6,3.15252161,322,56,NA,NA,12,356,19,244,19,286,NA,36,341,1,2,NA,NA,5,6,7,8,9,10,NA,12,13,6.064704418,97.3928833,1.051796436,13.54222965,4.674702168,0.862981319,45.44251633,16.20951271,144.5723114,-0.130816251,12.89269257,-923.2395576,-2217.489323,WhiteTroatedCaracara,20
2598,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,60,172,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,13,13,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,2.43748498,NA,NA,NA,NA,299,346,NA,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA,10,NA,NA,NA,6.222430229,80.90882874,2.540452242,19.62388039,0.681631565,0.4228082,46.59188843,25.28544617,148.545105,-0.299899131,7.28556633,-883.2395576,-2217.489323,WhiteTroatedCaracara,20
2599,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,15,12,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,13,11,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,7.417170525,NA,NA,NA,NA,NA,NA,NA,NA,315,292,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,13,6.32069397,77.00804901,2.269273281,7.130875587,1.038495541,0.342939913,54.01594543,34.29745483,157.2234955,-0.417589515,10.36188316,-863.2395576,-2217.489323,WhiteTroatedCaracara,20
2601,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.792016506,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,6.41322279,68.10942078,3.176909924,1.295678139,0.002660693,0.047002763,53.91107178,40.80979538,176.2619629,-0.098054007,14.10817528,-823.2395576,-2217.489323,WhiteTroatedCaracara,20
2602,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,40,93,55,50,NA,102,64,70,60,NA,NA,NA,NA,0,10,13,18,NA,16,13,18,12,NA,NA,NA,NA,3,2,1,1,NA,2,1,2,1,NA,2.608526945,NA,NA,NA,54,299,341,276,NA,34,292,355,311,NA,NA,NA,NA,4,5,6,7,NA,9,10,11,12,NA,6.613602161,66.28717041,3.169661045,0.746674776,0.001450185,0.064883582,53.50622177,41.44867325,156.2955017,0.083389066,17.70957375,-803.2395576,-2217.489323,WhiteTroatedCaracara,20
2603,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,10,NA,40,31,NA,8,82,NA,NA,NA,NA,NA,NA,16,NA,19,15,NA,10,16,NA,NA,NA,NA,NA,NA,3,NA,2,2,NA,4,1,4.199716091,NA,NA,NA,NA,NA,NA,276,NA,34,272,NA,339,275,NA,NA,NA,NA,NA,NA,7,NA,9,10,NA,12,13,6.829493523,69.87692261,3.840566874,0.214143336,0.048072793,0.408744901,51.97935867,41.05062485,124.0916138,-0.123661883,9.97191143,-783.2395576,-2217.489323,WhiteTroatedCaracara,20
2606,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,30,62,13,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,18,8,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,2,3.868447542,NA,NA,NA,244,NA,NA,NA,NA,NA,NA,291,346,18,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,11,12,13,7.099264145,78.9385376,1.561418295,2.778588772,0.262146443,1.776749611,54.94494247,38.454422,87.74919128,0.002874088,6.188575745,-723.2395576,-2217.489323,WhiteTroatedCaracara,20
2607,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,20,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,19,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,4,NA,5.222945213,NA,NA,NA,NA,NA,294,NA,NA,NA,20,NA,26,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,10,NA,12,NA,7.059873104,82.05448914,0.371256888,0.165669829,0,0.361083061,58.37844467,40.5029068,85.98866272,0.100791998,5.252983093,-703.2395576,-2217.489323,WhiteTroatedCaracara,20
2608,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,17,5,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,15,16,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,4,NA,2.168003798,NA,NA,NA,NA,274,NA,NA,NA,NA,276,46,26,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,10,11,12,NA,7.078035355,82.50857544,1.270782232,0.869336188,0.136045396,0.339870125,56.58727264,40.65509796,59.74925613,0.006598438,4.013360023,-683.2395576,-2217.489323,WhiteTroatedCaracara,20
2617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,47.17557907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4.639502525,386.4522705,4.997273922,1.051691532,2.229768276,14.08673954,35.40636063,8.435814857,417.1255188,-0.278491974,141.5566559,-1003.239558,-2237.489323,WhiteTroatedCaracara,20
2618,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,20,NA,NA,NA,NA,19,NA,20,15,NA,NA,NA,NA,14,NA,NA,NA,NA,13,NA,18,8,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,30.36876488,NA,NA,NA,NA,21,NA,NA,NA,NA,289,NA,310,270,NA,NA,NA,NA,5,NA,NA,NA,NA,10,NA,12,13,5.427799225,272.5571289,3.147906303,1.217660666,5.164680481,22.05578041,17.21891403,10.65746689,273.5808411,0.702790797,79.22939301,-983.2395576,-2237.489323,WhiteTroatedCaracara,20
2620,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,30,180,90,165,NA,120,NA,45,20,120,89,NA,NA,10,9,10,14,NA,13,NA,15,11,11,8,NA,NA,2,3,1,5,NA,2,NA,2,3,2,1,3.362163067,NA,NA,269,278,50,341,NA,28,NA,294,41,365,15,NA,NA,3,4,5,6,NA,8,NA,10,11,12,13,6.287593365,128.0419312,0.770075917,3.608637571,7.843768597,11.38505936,23.59627342,3.58860302,88.1567688,-1.152247667,15.99597549,-943.2395576,-2237.489323,WhiteTroatedCaracara,20
2621,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,5,NA,NA,12,NA,1,NA,10,NA,NA,NA,16,5,16,NA,NA,15,NA,15,NA,8,NA,NA,NA,15,19,2,NA,NA,6,NA,1,NA,1,NA,NA,NA,6,1,3.98800993,319,NA,NA,303,NA,254,NA,32,NA,NA,NA,49,326,1,NA,NA,4,NA,6,NA,8,NA,NA,NA,12,13,5.974446297,117.2073059,0.324712664,6.513661385,10.47892952,8.306387901,35.87612534,2.468738317,137.2624817,-0.529014885,15.0729208,-923.2395576,-2237.489323,WhiteTroatedCaracara,20
2622,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,15,NA,NA,NA,10,10,45,1,180,10,3,30,9,16,NA,NA,NA,10,18,14,8,10,16,11,16,19,2,NA,NA,NA,3,5,5,1,2,1,2,3,1,3.769279242,319,NA,NA,NA,12,19,13,337,308,315,44,38,326,1,NA,NA,NA,5,6,7,8,9,10,11,12,13,5.717166901,107.9014816,0.547673404,11.06870174,7.058152676,3.029237747,39.55263519,5.149721622,193.171524,-0.561229587,14.4910593,-903.2395576,-2237.489323,WhiteTroatedCaracara,20
2623,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,10,NA,NA,NA,NA,1,27,6,1,10,NA,15,96,16,NA,NA,NA,NA,14,9,11,8,11,NA,9,8,2,NA,NA,NA,NA,1,2,4,1,2,NA,5,2,3.093218803,319,NA,NA,NA,NA,254,337,259,24,304,NA,248,275,1,NA,NA,NA,NA,6,7,8,9,10,NA,12,13,5.828499317,95.12926483,1.450921178,19.01921272,3.183431387,0.710905135,39.34397888,15.29492569,188.970871,-0.466405749,11.5292244,-883.2395576,-2237.489323,WhiteTroatedCaracara,20
2624,NA,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,NA,NA,NA,8,5,NA,5,2,NA,12,NA,215,6,NA,NA,NA,7,9,NA,19,11,NA,11,NA,10,16,NA,NA,NA,6,3,NA,2,4,NA,1,NA,3,4,2.586210966,NA,NA,NA,303,12,NA,338,259,NA,292,NA,343,359,NA,NA,NA,4,5,NA,7,8,NA,10,NA,12,13,6.029205799,85.63106537,1.750368357,17.0369854,0.205677703,0.089877509,48.38417816,28.79304695,173.1240082,-0.221789256,6.522110939,-863.2395576,-2237.489323,WhiteTroatedCaracara,20
2625,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,0,NA,NA,NA,180,30,33,5,NA,10,20,45,NA,12,NA,NA,NA,15,12,16,21,NA,13,9,11,NA,18,NA,NA,NA,1,2,1,4,NA,3,1,2,NA,2,5.558990479,NA,NA,NA,281,299,341,353,NA,332,292,350,NA,272,NA,NA,NA,4,5,6,7,NA,9,10,11,NA,13,5.978024483,81.69393921,0.827324808,5.215782166,0.023563962,0.099587709,55.87808228,37.8306694,201.1745453,0.038253471,6.261036873,-843.2395576,-2237.489323,WhiteTroatedCaracara,20
2626,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,2,NA,NA,NA,1,5,6,70,NA,8,NA,NA,NA,15,NA,NA,NA,13,14,17,13,NA,9,NA,NA,NA,1,NA,NA,NA,1,5,2,2,NA,1,5.092306614,NA,NA,NA,303,NA,NA,NA,12,315,321,352,NA,305,NA,NA,NA,4,NA,NA,NA,8,9,10,11,NA,13,5.803102493,77.33152771,1.140956759,6.198662281,0.028172659,0.111886747,54.72013092,37.34765625,248.4352264,0.197921425,6.17877388,-823.2395576,-2237.489323,WhiteTroatedCaracara,20
2627,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,120,NA,1,NA,1,NA,NA,NA,NA,21,NA,NA,NA,12,NA,15,NA,11,NA,NA,NA,NA,13,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,2,1.904978275,NA,NA,NA,309,NA,17,NA,12,NA,NA,NA,NA,22,NA,NA,NA,4,NA,6,NA,8,NA,NA,NA,NA,13,6.132700443,77.12914276,1.136465907,2.327361107,0.001039365,0.069777578,56.68659592,39.62384415,210.1287079,-0.132547781,8.167710304,-803.2395576,-2237.489323,WhiteTroatedCaracara,20
2628,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,1,NA,NA,10,1,NA,82,15,NA,NA,NA,NA,NA,15,NA,NA,12,14,NA,11,16,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,2,2,2.927760124,NA,NA,NA,NA,NA,3,NA,NA,332,18,NA,303,333,NA,NA,NA,NA,NA,6,NA,NA,9,10,NA,12,13,6.362443924,77.28964996,2.244302034,0.905035079,0.026851946,0.150891826,55.68889999,40.23486328,182.7229919,0.302144468,6.860007763,-783.2395576,-2237.489323,WhiteTroatedCaracara,20
2629,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,10,NA,1,47,10,10,19,5,30,14,NA,NA,NA,16,NA,15,15,17,11,13,9,19,12,NA,NA,NA,2,NA,1,2,1,3,1,1,2,1,2.730175972,NA,NA,NA,1,NA,3,322,364,332,8,335,312,326,NA,NA,NA,4,NA,6,7,8,9,10,11,12,13,6.562511444,78.41812897,3.296156168,3.140038729,0.144606948,0.454884589,53.24043655,39.16054916,157.6411743,-0.206818536,8.850100517,-763.2395576,-2237.489323,WhiteTroatedCaracara,20
2630,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55,1,4,1,11,43,6,19,24,NA,NA,NA,NA,13,14,18,12,18,14,14,11,17,NA,NA,NA,NA,1,1,1,1,5,1,1,2,1,2.43026495,NA,NA,NA,NA,45,3,305,333,363,287,297,287,347,NA,NA,NA,NA,5,6,7,8,9,10,11,12,13,6.657217503,79.71763611,4.530246258,1.855667114,0.15832302,1.526985526,48.18650055,41.49089813,146.4057617,0.056915455,8.920642853,-743.2395576,-2237.489323,WhiteTroatedCaracara,20
